id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,XM,YM,XM_r,YM_r,xG_s
309898,18,Goal,0.9330000305,0.36700000759999996,0.3668168783,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09T20:00:00Z,Roberto Firmino,Pass,97.032003172,24.956000516799996,6.967996827999997,43.043999483200004,0.55022531745
309908,53,MissedShots,0.88,0.3390000153,0.07799225301,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09T20:00:00Z,Fabinho,BallRecovery,91.52,23.0520010404,12.480000000000004,44.9479989596,0.11698837951499999
312712,38,MissedShots,0.875,0.2920000076,0.04510994628000001,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24T17:30:00Z,Trent Alexander-Arnold,Pass,91.0,19.8560005168,13.0,48.1439994832,0.06766491942000001
312718,48,Goal,0.885,0.5,0.7611688375,Mohamed Salah,h,1250,Penalty,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24T17:30:00Z,,Standard,92.04,34.0,11.959999999999994,34.0,1.14175325625
312719,50,BlockedShot,0.8069999695000001,0.2579999924,0.03201932833,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24T17:30:00Z,Sadio Mané,Chipped,83.927996828,17.5439994832,20.072003171999995,50.4560005168,0.048028992495
312724,55,MissedShots,0.9469999695,0.525,0.5426524878,Mohamed Salah,h,1250,OpenPlay,2019,Head,11670,Liverpool,Arsenal,3,1,2019-08-24T17:30:00Z,Andrew Robertson,Cross,98.48799682799999,35.7,5.512003172000007,32.3,0.8139787317
312725,58,Goal,0.8569999695,0.3490000153,0.2207226306,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24T17:30:00Z,Fabinho,TakeOn,89.12799682800001,23.7320010404,14.872003171999992,44.2679989596,0.3310839459
317029,25,BlockedShot,0.88,0.6880000304999999,0.0299215205,Mohamed Salah,h,1250,OpenPlay,2019,RightFoot,11683,Liverpool,Newcastle United,3,1,2019-09-14T11:30:00Z,Trent Alexander-Arnold,Cross,91.52,46.78400207399999,12.480000000000004,21.215997926000007,0.04488228075
317041,61,BlockedShot,0.89,0.5629999924,0.12823745609999998,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11683,Liverpool,Newcastle United,3,1,2019-09-14T11:30:00Z,Roberto Firmino,Pass,92.56,38.2839994832,11.439999999999998,29.7160005168,0.19235618414999997
317048,71,Goal,0.9290000153,0.615,0.39557290079999996,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11683,Liverpool,Newcastle United,3,1,2019-09-14T11:30:00Z,Roberto Firmino,Pass,96.6160015912,41.82,7.383998408799997,26.18,0.5933593511999999
324090,3,SavedShot,0.9090000153,0.26399999620000003,0.03787455335,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11715,Liverpool,Leicester,2,1,2019-10-05T15:00:00Z,,None,94.53600159119999,17.9519997416,9.463998408800009,50.048000258399995,0.056811830024999996
324097,45,SavedShot,0.9569999695,0.4659999847,0.6358138323,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11715,Liverpool,Leicester,2,1,2019-10-05T15:00:00Z,,None,99.527996828,31.687998959599998,4.472003172000001,36.312001040400006,0.95372074845
324098,45,BlockedShot,0.9380000304999999,0.4609999847,0.1326960325,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11715,Liverpool,Leicester,2,1,2019-10-05T15:00:00Z,Trent Alexander-Arnold,Foul,97.55200317199998,31.347998959599998,6.447996828000015,36.6520010404,0.19904404875
324099,53,BlockedShot,0.8080000305,0.2610000038,0.059094246479999994,Mohamed Salah,h,1250,DirectFreekick,2019,LeftFoot,11715,Liverpool,Leicester,2,1,2019-10-05T15:00:00Z,,Standard,84.032003172,17.748000258399998,19.967996827999997,50.2519997416,0.08864136971999999
324100,56,BlockedShot,0.825,0.5090000153,0.08572361617999999,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11715,Liverpool,Leicester,2,1,2019-10-05T15:00:00Z,Sadio Mané,Pass,85.8,34.6120010404,18.200000000000003,33.3879989596,0.12858542426999997
328005,20,SavedShot,0.7909999847,0.4059999847,0.0306926854,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11736,Liverpool,Tottenham,2,1,2019-10-27T16:30:00Z,Sadio Mané,HeadPass,82.2639984088,27.6079989596,21.736001591199994,40.392001040400004,0.0460390281
328008,26,SavedShot,0.8230000304999999,0.48400001530000003,0.047991931439999996,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11736,Liverpool,Tottenham,2,1,2019-10-27T16:30:00Z,Roberto Firmino,Pass,85.59200317199999,32.9120010404,18.40799682800001,35.0879989596,0.07198789716
328012,29,BlockedShot,0.8830000305,0.3970000076,0.06347057223,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11736,Liverpool,Tottenham,2,1,2019-10-27T16:30:00Z,Jordan Henderson,HeadPass,91.832003172,26.9960005168,12.167996828,41.003999483200005,0.09520585834499999
328020,53,SavedShot,0.8680000305,0.5840000153,0.07597044855,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11736,Liverpool,Tottenham,2,1,2019-10-27T16:30:00Z,Fabinho,Chipped,90.272003172,39.7120010404,13.727996828000002,28.287998959600003,0.11395567282499999
328023,65,SavedShot,0.8909999847,0.3,0.051729746160000006,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11736,Liverpool,Tottenham,2,1,2019-10-27T16:30:00Z,Trent Alexander-Arnold,Pass,92.6639984088,20.4,11.336001591200002,47.6,0.07759461924000001
328024,69,MissedShots,0.8569999695,0.325,0.03268354014,Mohamed Salah,h,1250,FromCorner,2019,LeftFoot,11736,Liverpool,Tottenham,2,1,2019-10-27T16:30:00Z,Trent Alexander-Arnold,Cross,89.12799682800001,22.1,14.872003171999992,45.9,0.049025310210000006
